category,total_volume,market_count
KXNFLGAME,3017237118.0,486
KXNCAAFGAME,2799948915.0,1760
KXNBAGAME,1683773756.0,784
KXMLBGAME,865058318.0,4428
PRES,535948943.0,8
KXBTCD,465236379.0,391205
KXATPMATCH,450159413.0,2520
KXMARMAD,415470990.0,488
KXNHLGAME,344058272.0,1010
KXWTAMATCH,338563928.0,2382
KXFEDDECISION,278539309.0,130
KXNFLSPREAD,247733494.0,5969
KXPGATOUR,230921414.0,3942
KXNCAAMBGAME,176873783.0,1296
KXBTC,142575482.0,390525
KXNBA,138544845.0,60
KXNFLTOTAL,138285716.0,5079
POPVOTEMOV,134863999.0,18
KXEPLGAME,133683762.0,471
KXMVENFLMULTIGAMEEXTENDED,124386364.0,1991987
KXMAYORNYCPARTY,121642553.0,5
KXNBASERIES,109231391.0,24
KXUFCFIGHT,103744086.0,380
KXINXU,94622515.0,435308
KXWMARMAD,91829620.0,416
KXMLB,87832894.0,30
KXMASTERS,86824128.0,97
ECMOV,86308117.0,16
KXWNBAGAME,85927768.0,596
POPVOTEMOVSMALL,84757997.0,18
KXGOVSHUTLENGTH,82758196.0,66
POPVOTE,81933515.0,2
KXUCLGAME,78565663.0,282
KXUSOPEN,70984045.0,167
KXMLBSERIES,65352737.0,16
KXMVENFLSINGLEGAME,64963059.0,1385795
INXD,64768878.0,3503
KXSB,63909741.0,36
KXNCAAFSPREAD,62447730.0,8578
KXETHD,61474960.0,390525
KXNASDAQ100U,53285362.0,435237
KXHIGHNY,52070182.0,2382
NASDAQ100D,50707005.0,3641
KXWMENSINGLES,47419000.0,238
INX,47059925.0,3296
KXTHEOPEN,45869851.0,387
KXETH,41772237.0,390525
FED,40837397.0,347
KXNCAAFTOTAL,40371510.0,6828
KXHIGHAUS,39199934.0,2382
KXHIGHCHI,39062421.0,2382
POPVOTEMOVSMALLER,37209372.0,13
KXAAAGASM,36583464.0,182
SENATEAZ,35499031.0,4
KXUSOMENSINGLES,35458687.0,108
KXPGA,35228441.0,157
NASDAQ100,31927396.0,3327
KXFOMENSINGLES,31816184.0,248
KXNFLANYTD,31478190.0,3434
KXHIGHMIA,29747775.0,2382
KXPRESNOMD,28945295.0,38
PRESPARTYFULL,28921006.0,4
POWER,28520172.0,16
NASDAQ100Y,28060766.0,45
KXHIGHLAX,27033427.0,1944
KXHIGHDEN,26219521.0,2220
KXNBATOTAL,26017335.0,2739
KXBOXING,25959598.0,14
CLOSESTSTATE,25934826.0,17
KXBTCMAXY,25477785.0,18
INXU,24979576.0,3890
KXMVESPORTSMULTIGAMEEXTENDED,24973879.0,392453
KXNBAEAST,23943942.0,30
KXMLBAL,23423331.0,15
KXFIFAGAME,23211654.0,351
KXCPIYOY,22946853.0,124
KXF1RACE,22849453.0,447
KXNBAWEST,22623848.0,30
KXPGARYDERMATCH,21750933.0,58
GOVPARTYNJ,21640003.0,2
KXFOMEN,21123935.0,256
KXTRUMPMENTION,20444117.0,1887
KXNBASPREAD,20064553.0,2669
KXUSOWOMENSINGLES,20050935.0,111
KXLALIGAGAME,19959835.0,396
PRESPARTYGA,19884204.0,2
KXWWOMENSINGLES,19616103.0,240
KXMLSGAME,19478116.0,948
KXNHLSERIES,19426429.0,24
KXNCAAF,19264928.0,137
KXSPOTIFYD,19125002.0,5498
KXRATECUTCOUNT,17930225.0,36
KXHEISMAN,17928419.0,42
INXY,17580205.0,45
KXHIGHPHIL,17290446.0,2220
PRESPARTYPA,17042008.0,2
KXMAYORNYCNOMD,16963803.0,22
KXELECTIONMOVZOHRAN,16893275.0,10
KXINX,16673409.0,8250
HOUSEMOV,16252923.0,8
KXNHL,16183277.0,64
KXCLUBWCGAME,16123943.0,186
KXMLBHRDERBY,15967466.0,9
KXLLM1,15937266.0,125
KXETHMAXY,15790905.0,13
KXBTCMAX150,15008499.0,14
KXFOWOMENSINGLES,14650934.0,241
KXBTCMAX125,14561675.0,17
PRESPARTYMI,14548325.0,2
KXPGARYDER,14503066.0,3
KXNBAFINALSMVP,14398739.0,12
KXNFLMVP,14279989.0,52
POPVOTEMOVPA,14254350.0,20
NASDAQ100U,14065659.0,3893
KXDJTJOINTSESSION,13744260.0,40
KXSERIEAGAME,13517280.0,387
KXELECTIONMOVNJGOV,13309402.0,9
KXCANADAPM,13061085.0,6
PRESPARTYIA,12930686.0,2
KXSECAG,12672827.0,18
KXBTCMINY,12542940.0,12
KXSECDEF,12461725.0,16
PRESPARTYNC,12233384.0,2
INXW,12210340.0,1165
KXSECHHS,12146553.0,8
KXNOBELPEACE,12076482.0,34
KXNATHANSHD,11580102.0,11
KXBIDENPARDON,11480444.0,30
KXMLBASGAME,11380418.0,2
KXPAYROLLS,11082522.0,255
KXNFLFIRSTTD,10695358.0,3432
KXNEXTPOPE,10618819.0,37
PRESPARTYNV,10607466.0,2
NASDAQ100W,10595512.0,1197
