price,mean_trade_value,median_trade_value
0,0.0,0.0
1,5.482694333894019,0.95
2,10.19736909536913,2.0
3,13.80818059719697,3.0
4,15.342804789355686,3.68
5,16.21980869597727,3.8
6,18.88776175967181,4.5
7,20.950467816220392,4.69
8,22.37213135401588,4.64
9,23.592383144720515,4.68
10,25.928842366838058,5.0
11,28.555178580428013,5.5
12,29.735124915117684,6.0
13,32.07726464344274,6.5
14,33.023880424182,7.0
15,34.747160227763004,7.5
16,37.41671015259985,8.0
17,39.58496302729381,8.5
18,39.31791407096096,8.1
19,41.500902760298246,8.55
20,43.46987278733303,9.0
21,46.24660627537145,9.45
22,47.6211834413793,9.46
23,50.67695850533848,9.43
24,49.91530578746057,9.36
25,53.06787517106309,9.5
26,56.427993379509566,9.36
27,60.1680664956082,9.45
28,59.562047142180575,9.52
29,59.87251676058638,9.28
30,60.850027638198426,9.3
31,67.51562110291793,10.54
32,67.31396261294232,10.88
33,69.17890435408431,10.56
34,72.12132267828724,11.22
35,73.28203470140774,11.2
36,77.41969189507914,11.88
37,75.65639616711071,11.1
38,82.78412116651725,12.54
39,82.23575359739948,12.09
40,85.76953101519965,13.2
41,87.73048110461183,13.12
42,93.11839490372591,13.86
43,104.16878435063013,14.62
44,97.57379286849059,14.08
45,99.49158263717905,14.4
46,102.03482353832942,14.26
47,103.44140308444778,14.1
48,104.21884956908595,14.88
49,107.8992038720415,16.66
50,109.62682629326376,17.0
51,119.63734245872898,18.87
52,122.28361863294766,19.24
53,124.3209958376882,19.08
54,122.91984563500178,18.9
55,128.23795702249396,19.25
56,137.83804069807098,19.6
57,141.62618235621056,19.38
58,144.10142864452212,19.72
59,138.69482520251935,18.88
60,130.83305594207627,19.2
61,140.49586147841788,18.91
62,149.999189248109,19.84
63,143.03907844868684,18.9
64,141.14977231365557,19.2
65,142.18648514052651,19.5
66,145.42332520673733,19.8
67,148.4719644182561,20.1
68,147.43421876390423,20.4
69,151.6139714588754,20.7
70,153.23591175609272,21.0
71,164.21757578685765,21.3
72,158.37891674014082,21.6
73,166.3384340826854,21.9
74,168.22726043746167,22.2
75,162.045602863224,22.5
76,177.06833937832158,23.56
77,182.2231211260829,23.1
78,179.5818211445552,23.4
79,187.45917038420225,24.49
80,183.87988273606373,24.0
81,198.6926380419617,26.73
82,193.64142271979372,26.24
83,201.2754713510542,29.05
84,206.63861621010122,29.4
85,206.4509400894755,29.75
86,229.55336113274814,30.96
87,222.15541329432685,31.32
88,224.54177520367358,31.68
89,232.57890424615007,32.04
90,232.20078310996212,34.2
91,251.29936790561166,36.4
92,261.39930072580853,36.8
93,256.3735576622145,37.2
94,269.7759342199384,39.48
95,270.6952674841871,39.9
96,290.26807864463365,42.24
97,305.5939592499145,47.53
98,331.1908305720547,46.06
99,405.8839554748892,49.5
