hours_bin,hours_label,n_trades,total_contracts,total_volume_usd,avg_trade_size
0.125,<15m,4647508,1047997786.0,499735136.0399939,107.5275472446726
0.375,15-30m,5051992,1182339443.0,602721603.939981,119.30375264647707
0.75,30m-1h,9090042,2154828223.0,1085019130.8501532,119.36348928312468
1.5,1-2h,9768780,2735329616.0,1332680109.930196,136.42236900925153
3.0,2-4h,11681209,3590299397.0,1739512984.2503707,148.91549190245382
6.0,4-8h,5615004,1318721208.0,614767156.2099733,109.48650369794453
16.0,8-24h,7787415,1214284634.0,555795203.1199702,71.37094955385969
48.0,1-3d,4536756,871497343.0,370042582.1299989,81.56545825475271
120.0,3-7d,2774263,631842863.0,239980773.2499972,86.5025317534773
336.0,>7d,2910961,681255701.0,288537335.13000214,99.1209896422529
